Local Time,Unix Time (s),ouPresentCompressorFreq,ouTemperatureOutdoor,iuAirFlowRate,tabTsense0,humidityIndoor.0,Liq. T.,Suc. T.,ouCompressorCurrent,ouInputVoltage,ouInputCurrent,Unnamed: 12,OAT Shade T.,iuDAT,Unix Time (s).1,Dis. P.,Liq. P.,Suc. P.,NC P.,Dis. T.,Liq. T..1,Suc. T..1,Sump T.,OAT Shade T..1,OAT Sun T.,Cond Bend 2,Cond Bend 9,Cond Bend 20,Cond Bend 26,Cond Bend 58,Cond Bend 75,Sat. Dis. T.,Sat. Liq. T.,Sat. Suc. T.,Dis. Super Heat,Liq. Subcool,Suc. Super Heat,Torque (Input),RPM (FB),Mech P.,Average P.,Motor Eff (Calc),CFM (Calc),Static (Calc),SC_average,SH_average,Suction,Liquid,Comp Count,SH Smooth,Count,Baseline_SC,σ,Fault_1,Fault_2,CFM,Persistence1,Persistence2,Counter,iuDAT_filled,SensibleCapacity,Predicted Comp. Power,Actual Comp. Power,IDWB,Predict Sensible Capacity,ST_Ratio,Predict Comp. Power from Compressor Map
2018-07-30 19:45:00,1532998320.0,26.133333333333333,90.33333333333331,1171.4666666666667,73.84666666666664,59.96666666666667,97.65824930533334,68.26132555733334,11.587,249.26666666666668,6.406466666666666,,92.72696178133332,56.46666666666667,1532998320.0,325.29070221999996,320.34958808666664,145.51005866,-82.54037454066669,142.55482206666667,97.65824930533334,68.26132555733334,87.11118595133333,92.72696178133332,90.95749105266667,99.25401894933333,99.86433621466668,98.49176559733334,99.29319287333334,98.29943314133331,99.89609946133329,101.94827065999999,100.87575636000003,51.175460516,40.606551407333335,3.2175070516666664,17.085865043333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2421830525333335,17.090795556,0.0,1.0,251.0,1.0,108.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,108.0,56.46666666666667,22049.765485999997,1467.3575539999997,1597.0112,64.36243822199998,19092.266666666666,0.0,1494.9263049333335
2018-07-30 20:00:00,1532999220.0,24.2,89.76,1121.2,73.79999999999998,60.0,96.90439241133335,68.791329832,11.295066666666667,249.4,5.899333333333333,,92.15424747666665,56.706666666666685,1532999220.0,321.30432966,316.7460669533333,147.03611387333336,-82.54140114666669,140.85588447333333,96.90439241133335,68.791329832,86.90878416600002,92.15424747666665,90.40182393133334,98.49064578066665,99.07222687,97.74345616466665,98.49206725933333,97.60392864399999,99.10117801799998,101.08434690666665,100.08610867466665,51.76106925,39.77153755533333,3.181716262333333,17.030260586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1796969282666665,17.044862934666664,0.0,1.0,266.0,1.0,120.06666666666666,0.0,0.0,0.0,0.0,2.0,0.0,0.0,120.06666666666666,56.706666666666685,20754.527782,1313.872017866667,1471.2867333333334,64.33077263999999,17924.4,0.0,1364.0727085333333
2018-07-30 20:15:00,1533000120.0,19.466666666666665,89.92,929.7333333333333,73.95333333333333,59.5,96.15521892133333,70.92610254133334,8.913733333333335,249.8,4.746266666666666,,92.066490916,57.67333333333333,1533000120.0,316.66922856,312.76977008666665,153.54532286000003,-82.46271380133336,137.64270851333333,96.15521892133333,70.92610254133334,86.86198151199999,92.066490916,90.06085418066667,97.71755293733331,98.34144771533335,97.06904862133334,97.68861632333332,96.89193433733332,98.00316768533335,100.05812037400001,99.20015830333335,54.09208916133334,37.584588141333334,3.044939383333334,16.834013383333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.027970588466667,16.786206397333334,0.0,1.0,130.26666666666668,0.4666666666666667,57.86666666666667,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,57.86666666666667,57.67333333333333,16121.882563333334,1061.2772127333333,1175.45,64.33184544266668,14547.0,0.0,1082.8889773333335
2018-07-30 20:30:00,1533001020.0,24.133333333333333,89.34,1119.4666666666667,73.93333333333332,59.733333333333334,96.50955223599998,68.52239507600001,11.135133333333332,249.66666666666666,5.8136,,91.66227508933335,56.83333333333333,1533001020.0,319.4662974266667,314.85792009333335,146.86326022,-82.536221902,140.2786170666667,96.50955223599998,68.52239507600001,86.92610934066666,91.66227508933335,89.91100888066666,98.07848833533333,98.66527240266666,97.34813952666667,98.09258375266668,97.16744633333334,98.69114356733333,100.68314077333335,99.66949218399999,51.695046342666664,39.59547628466667,3.1599399488,16.827348735333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.175764418933333,16.887928499999997,0.0,1.0,13.0,0.3333333333333333,43.333333333333336,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,43.333333333333336,56.83333333333333,20729.737365333338,1295.0307745333334,1451.4598666666668,64.37611394133333,18025.266666666666,0.0,1350.5709058
2018-07-30 20:45:00,1533001920.0,19.2,89.17333333333333,922.8,73.97333333333334,59.5,95.51835743599999,70.79115918,8.759666666666668,249.33333333333334,4.613600000000001,,91.75830907,57.6,1533001920.0,313.37709220666665,309.53644694,153.40869976000002,-82.469960766,136.76597521333332,95.51835743599999,70.79115918,86.70485907866667,91.75830907,89.32476656733336,96.90759077800001,97.660110876,96.41286048933333,97.01701316,96.29591561133333,97.21322780133332,99.33179810133333,98.47940539933332,54.04593345199999,37.434177106,2.961047963666667,16.745225729999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.973715131733333,16.785853312000004,0.0,1.0,8.4,0.26666666666666666,35.86666666666667,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,35.86666666666667,57.6,16048.594192,1017.9501281333335,1140.3632666666667,64.34934623866667,14459.6,0.0,1050.9574392
2018-07-30 21:00:00,1533002820.0,19.2,87.69999999999999,892.8,74.0,59.36666666666667,94.16845678666667,70.13795692066667,7.904066666666666,250.06666666666666,4.540466666666668,,90.55098342866667,57.49333333333333,1533002820.0,307.39764342000007,303.6730601666667,152.7027633666667,-82.487457542,134.89905618666668,94.16845678666667,70.13795692066667,85.88445382333333,90.55098342866667,87.94776388933334,95.52835388266666,96.32290703266666,95.08365110400003,95.6858229,94.95965954266669,95.8617075033333,97.99085081199999,97.15380469066669,53.77377602199999,36.90820538666666,2.9853479046666673,16.364180899333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.996574974666667,16.22386286266667,0.0,1.0,10.333333333333334,0.26666666666666666,36.93333333333333,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,36.93333333333333,57.49333333333333,16548.098628,976.5106112666668,1124.7867333333334,64.33755925400001,14550.466666666667,0.0,1032.0442576
2018-07-30 21:15:00,1533003720.0,24.0,86.94666666666666,1116.0,73.97333333333333,59.3,94.16934743666667,68.01779866333335,10.704866666666668,250.66666666666666,5.561200000000001,,89.79468711,56.40666666666666,1533003720.0,308.58114316000007,304.24625058000004,145.99701472,-82.56270137933333,136.98618836,94.16934743666667,68.01779866333335,85.74323277933334,89.79468711,87.43777964733334,95.54068394466667,96.302657282,95.06986214333332,95.77114081600001,94.91139566266664,96.16620326266667,98.27056141400001,97.29225658866669,51.36258842666666,38.71562695466667,3.1229091513333334,16.655210238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1008787868666663,16.785567953333334,0.0,1.0,9.0,0.06666666666666667,9.4,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,9.4,56.40666666666666,21228.938602000002,1203.4782766,1394.0074666666667,64.29696952200001,18290.933333333334,0.0,1284.3580962
2018-07-30 21:30:00,1533004620.0,19.2,86.98,922.8,73.97333333333336,59.1,93.18531462666667,69.68428541466668,8.422466666666667,249.46666666666667,4.4408,,89.50399774733334,57.193333333333335,1533004620.0,303.1885819466668,299.5137793,151.7728452333333,-82.49650303,133.5708697,93.18531462666667,69.68428541466668,85.16930606866666,89.50399774733334,86.97521026933333,94.62368589,95.33562245333333,94.15900133266668,94.73347089466667,93.9763877153333,94.90222771466667,97.039230542,96.20447144133333,53.43166494066667,36.53163915533333,3.0191568133333337,16.252620475999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.017851095066667,16.277542629333333,0.0,1.0,6.0,0.13333333333333333,19.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,19.0,57.193333333333335,16540.042106,960.5152589333335,1097.3428666666666,64.24449791333333,14706.6,0.0,1011.6617802666666
2018-07-30 21:45:00,1533005520.0,18.0,86.62666666666665,922.8,73.97333333333334,59.13333333333333,92.93144166600001,69.44880047866667,7.952,249.8,4.353066666666667,,89.12047023066665,57.0,1533005520.0,302.2888348733333,298.61687354,151.42376627333337,-82.50010531933334,133.15880264,92.93144166600001,69.44880047866667,84.90243926133333,89.12047023066665,86.72032829799998,94.39728905,95.09753055800002,93.93081038600002,94.51366312133335,93.68874455466666,94.68730767000001,96.83359251333333,95.99771518200001,53.300384312666665,36.325210138,3.066273515666667,16.148416166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.061009990133333,16.153102011999998,0.0,1.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,16612.550815333332,872.7044658420001,1077.2166666666667,64.25330937933333,14292.266666666666,0.0,941.8985783333333
2018-07-30 22:00:00,1533006420.0,19.2,86.52666666666667,892.8,73.94000000000001,59.1,92.69072289266667,69.23419209666667,7.753000000000001,249.86666666666667,4.4193999999999996,,88.88824863800001,56.70666666666666,1533006420.0,301.1661918133333,297.61055863333337,150.77481096000002,-82.49681240733334,132.9290538,92.69072289266667,69.23419209666667,84.73617917266668,88.88824863800001,86.72515694733332,94.27607014999998,94.86539473266667,93.70882603266665,94.32404663266668,93.48694231066669,94.55036704733334,96.5772914246667,95.76603710666667,53.065419438,36.35176236466667,3.0753142139999996,16.168772662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.072219297733334,16.172575580666663,0.0,1.0,5.866666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.70666666666666,17240.959624666666,947.6590414000001,1095.2666666666667,64.21584370999999,14712.666666666666,0.0,1010.5399178
2018-07-30 22:15:00,1533007320.0,19.2,86.35333333333334,892.8,73.85999999999999,59.0,92.43988521666667,69.047191386,8.458866666666667,250.26666666666668,4.399333333333333,,88.81615585,56.63333333333333,1533007320.0,300.0150599533333,296.2647411333334,150.34760066666664,-82.48800185666666,132.70795449333335,92.43988521666667,69.047191386,84.59888835866667,88.81615585,86.40741678800002,93.91838035866665,94.629537388,93.43556101066669,94.00864424933334,93.24483366,94.23005823533336,96.31646436999999,95.45699119533334,52.89194979733333,36.391490137999995,3.017105979333333,16.155241591333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0202205093999996,16.155223632,0.0,1.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.63333333333333,17184.563962,944.1777182666666,1090.6034,64.12051721333334,14738.266666666666,0.0,1006.9169090666668
2018-07-30 22:30:00,1533008220.0,19.2,86.29333333333334,892.8,73.78666666666666,58.9,92.13030032266667,69.28743282933333,8.260733333333333,251.26666666666668,4.325199999999999,,88.60757295066668,56.893333333333324,1533008220.0,298.6273412533333,295.1732921066667,151.08608677333334,-82.48722736266669,131.64472609333333,92.13030032266667,69.28743282933333,84.52764308133332,88.60757295066668,86.232376522,93.70035496266668,94.32442211466669,93.187006862,93.71941672999999,92.96747634333333,93.94995794666667,95.99949230866667,95.20571400733334,53.16855130866666,35.645233792666666,3.075413685666667,16.118881524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.063351125333333,16.118796436,0.0,1.0,4.933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.893333333333324,16644.776908,941.4626363333332,1076.6751999999997,64.03084637733333,14755.4,0.0,996.0328316666668
2018-07-30 22:45:00,1533009120.0,16.0,85.96666666666668,774.0,73.82666666666665,58.6,91.345505796,70.00005743733331,6.989866666666667,251.73333333333332,3.6588666666666665,,88.329277708,57.160000000000004,1533009120.0,294.7199210133333,291.4656256133334,153.18558392000003,-82.45368159866666,129.57458396,91.345505796,70.00005743733331,84.47374607466666,88.329277708,86.04389286266668,92.94856311866667,93.54511302733334,92.37359957733335,92.87684264800001,92.19986719200001,93.05567259066669,95.08124895333334,94.33086755466667,53.91073368599999,34.49333501466666,2.9853617603333333,16.089323753333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9997044378666664,16.079405912666665,0.0,1.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.160000000000004,14211.706905333333,774.8861570666666,904.5986666666668,63.98629828199999,12394.4,0.0,830.8585160666665
2018-07-30 23:00:00,1533010020.0,14.4,85.80666666666664,699.6,73.87333333333335,58.36666666666667,91.04067767400001,70.08701524133333,6.146933333333334,251.93333333333334,3.2659999999999996,,87.921799142,57.160000000000004,1533010020.0,293.36491857999994,290.2766526533333,153.91948476666667,-82.46807044,128.66231488,91.04067767400001,70.08701524133333,84.465310642,87.921799142,85.47618928533333,92.71171068466668,93.26929990066667,92.15266140800001,92.62483836400001,91.964592024,92.84050215466667,94.77602051333334,94.05984396999999,54.18508463133334,33.886294371333335,3.0191662963333337,15.901930611333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0502035202666673,16.029905224666667,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.160000000000004,12834.041440000003,687.4460193333333,801.8996666666666,63.96486985466667,11234.133333333333,0.0,741.1462802
2018-07-30 23:15:00,1533010920.0,12.8,85.19333333333333,625.2,73.88666666666667,58.1,89.87332283866667,70.983106182,5.4576,251.2,2.8996666666666666,,87.30596417800001,57.72666666666667,1533010920.0,287.47472976,284.67935986666663,157.60054869999996,-82.41467202200002,125.85490156666668,89.87332283866667,70.983106182,84.253841998,87.30596417800001,84.798933714,91.49370859800001,92.045146118,90.94597984466667,91.29085659666667,90.79926725866667,91.34976822199998,93.383332766,92.72880959533335,55.50384964866667,32.471568798,2.8554867571333333,15.479256533999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.889148247066667,15.779986527333332,0.0,1.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.72666666666667,11118.002000666665,602.5652547333334,704.5068000000002,63.90598342666667,10058.333333333334,0.0,647.8167679333333
2018-07-30 23:30:00,1533011820.0,12.8,84.76666666666667,595.2,73.94666666666667,57.9,89.45492871466665,71.17821526466668,5.4782,251.33333333333334,2.8932,,86.78822560933332,57.85333333333334,1533011820.0,286.01912410000006,283.35840012666665,158.53931718666666,-82.41884084866666,124.31455074,89.45492871466665,71.17821526466668,83.87339229999999,86.78822560933332,84.44083567933333,91.14868157066667,91.65872925533331,90.601586688,90.98362064533333,90.37627126066668,90.95572127066666,93.03869391133335,92.41379919600003,55.83794128266667,31.275856823999995,2.9588704819999996,15.340273985333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.973432000533334,15.439803912,0.0,1.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.85333333333334,11303.302033333332,592.4944329333333,701.8234666666666,63.904530200666656,10131.466666666667,0.0,644.6973019333333
2018-07-30 23:45:00,1533012720.0,12.8,85.12000000000002,595.2,73.95333333333335,57.7,89.72279870999999,71.10275224733333,4.728933333333333,251.06666666666666,2.912933333333333,,86.91075060666667,58.10666666666667,1533012720.0,287.07506556666675,284.54642534666675,158.02538706666667,-82.41557527066666,124.46328690666665,89.72279870999999,71.10275224733333,83.80552275466665,86.91075060666667,84.58078056600002,91.40744986199998,91.92807029,90.88785793999999,91.32947569199999,90.62719404866667,91.31085454133334,93.29139495266666,92.69869841066664,55.66505187933333,31.171891958666667,2.975899702333334,15.43770037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9888764649333335,15.264361031999998,0.0,1.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.10666666666667,11399.980312666668,595.5984380000001,707.8432,63.857258310666666,10128.733333333334,0.0,644.4738195333334
2018-07-31 00:00:00,1533013620.0,12.8,84.77333333333334,595.2,73.96666666666665,57.6,88.99569917133334,71.626505976,5.281266666666667,250.73333333333332,2.8329999999999993,,86.62233444333334,58.580000000000005,1533013620.0,283.62700196,281.0495658333333,159.14136496666666,-82.39656617733334,122.15833000666667,88.99569917133334,71.626505976,83.735838162,86.62233444333334,83.98298754133333,90.61923972066667,91.09984923533332,90.102502424,90.506222388,89.89309604133332,90.43032514866667,92.46691059799998,91.85887270466667,56.0565748,29.691419406,2.8631735339999995,15.569931176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.870686257866666,15.318606933333335,0.0,1.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.580000000000005,10739.345410000002,590.3005594666666,686.7734666666666,63.84209124466667,10175.6,0.0,633.4074944666665
2018-07-31 00:15:00,1533014520.0,13.266666666666667,83.89999999999999,699.6,73.99333333333333,57.46666666666667,88.48346093333335,70.36034830733333,5.8588666666666676,251.33333333333334,3.072799999999999,,85.976299316,57.913333333333334,1533014520.0,282.6132190199999,279.47617941333334,155.8997448133333,-82.44423725066667,123.19290188666669,88.48346093333335,70.36034830733333,83.41825257133334,85.976299316,83.43412433466666,90.16827262133333,90.68330831133335,89.60792717333334,90.02050313,89.33289834333331,90.04352167133332,92.22180751399998,91.47735761066666,54.88269424799999,30.971094366,2.993896677333333,15.477654062666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8984342497999993,15.227807784,0.0,1.0,2.066666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.913333333333334,12133.123922666668,582.0241799707334,751.5397999999999,63.82940717,11103.2,0.0,642.9642488799999
